"F_Id","F_NodeCode","F_NodeName","F_NodeType","F_NodePropertyJson","F_NodeUp","F_NodeNext","F_Completion","F_Description","F_SortCode","F_CreatorTime","F_TaskId","F_State"
"08f3d309c02d4fada17e79ca0a511d79","Kb2","主管审批","approver","{""approverPos"":[""71d112bc38f444749360344bf6f020f7"",""798d1099ddc24ceb87b9d3dc844d262b""],""approvers"":[""dacf5db5-2cca-4fe9-aa62-11ee82f846cf"",""7e2d74f1-277a-4a51-9311-8d02d579f251""],""assigneeType"":""6"",""child"":false,""childNode"":"""",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[{""id"":""id"",""name"":""主键"",""read"":true,""write"":false},{""id"":""flowId"",""name"":""流程主键"",""read"":true,""write"":false},{""id"":""flowTitle"",""name"":""流程标题"",""read"":true,""write"":false},{""id"":""flowUrgent"",""name"":""紧急程度"",""read"":true,""write"":false},{""id"":""billNo"",""name"":""流程单据"",""read"":true,""write"":false},{""id"":""applyUser"",""name"":""申请人"",""read"":true,""write"":false},{""id"":""position"",""name"":""所属职务"",""read"":true,""write"":false},{""id"":""applyDate"",""name"":""申请时间"",""read"":true,""write"":false},{""id"":""banquetNum"",""name"":""宴请人数"",""read"":true,""write"":false},{""id"":""banquetPeople"",""name"":""宴请人员"",""read"":true,""write"":false},{""id"":""total"",""name"":""人员总数"",""read"":true,""write"":false},{""id"":""place"",""name"":""宴请地点"",""read"":true,""write"":false},{""id"":""expectedCost"",""name"":""预计费用"",""read"":true,""write"":false},{""id"":""description"",""name"":""备注"",""read"":true,""write"":false}],""nodeId"":""Kb2"",""num"":""0"",""prevId"":""Gb2"",""progress"":""50"",""rejectStep"":""0"",""taskId"":""356b6563e15f4f8e9f6ba9929a988fd0"",""taskNodeId"":""08f3d309c02d4fada17e79ca0a511d79"",""title"":""主管审批"",""type"":""approver""}","0","end","1",,"2","29/9/2020 01:57:07","356b6563e15f4f8e9f6ba9929a988fd0","0"
"0958f834dee64adf8e401ede23069fab","Tb2","开始","start","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":true,""childNode"":""Ub2"",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[],""nodeId"":""Tb2"",""num"":""1"",""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":""5d9e95ead802463887560a0c9810e65e"",""taskNodeId"":""0958f834dee64adf8e401ede23069fab"",""title"":""开始"",""type"":""start""}",,"Ub2","1",,"1","29/9/2020 02:13:55","5d9e95ead802463887560a0c9810e65e","0"
"0990cc9e64b04b788786f4f4b05fc52b","Gb2","开始","start","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":true,""childNode"":""Kb2"",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[],""nodeId"":""Gb2"",""num"":""1"",""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":""09877984e3d242c381591cd926d3caf4"",""taskNodeId"":""0990cc9e64b04b788786f4f4b05fc52b"",""title"":""开始"",""type"":""start""}",,"Kb2","1",,"1","23/9/2020 03:56:12","09877984e3d242c381591cd926d3caf4","0"
"0aff9c9009b64513bc3334ba9108a089","end","结束","endround","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":null,""childNode"":null,""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":null,""formOperates"":[],""nodeId"":null,""num"":null,""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":null,""taskNodeId"":null,""title"":null,""type"":null}",,,"0",,"3","30/9/2020 07:35:33","e8185b21c91b4be483cd1d08a6cdd87a","0"
"0b502428ea7044c8992e72aa967b39e4","Kb2","主管审批","approver","{""approverPos"":[""ce977e001cec40c69160268b7f436cc8"",""7dac4ac51a674d8ca51bca857b8d1465""],""approvers"":[""7e2d74f1-277a-4a51-9311-8d02d579f251"",""ea3b9f9e61584acf95d4142ad16f7883"",""1c637b38-7c7e-4733-9069-5a8f4585f6f9"",""43a38a12-a051-4006-be67-9547ee10eabc"",""67e573e0-bb73-49e0-823b-d8297b0da3f8""],""assigneeType"":""8"",""child"":false,""childNode"":"""",""circulatePosition"":[""ce977e001cec40c69160268b7f436cc8""],""circulateUser"":[""f465cea3563e47899e649dfb315b70e8"",""721acd3b-b621-47bd-a41b-ae5a393e999f"",""cb222cae-d8dd-4577-9c6f-4eeabeccb66a"",""1adea3ff-8a25-420b-a628-c5cb78fd51c0"",""1c637b38-7c7e-4733-9069-5a8f4585f6f9"",""43a38a12-a051-4006-be67-9547ee10eabc"",""67e573e0-bb73-49e0-823b-d8297b0da3f8""],""description"":null,""firstId"":"""",""formOperates"":[{""id"":""id"",""name"":""主键"",""read"":true,""write"":false},{""id"":""flowId"",""name"":""流程主键"",""read"":true,""write"":false},{""id"":""flowTitle"",""name"":""流程标题"",""read"":true,""write"":false},{""id"":""flowUrgent"",""name"":""紧急程度"",""read"":true,""write"":false},{""id"":""billNo"",""name"":""流程单据"",""read"":true,""write"":false},{""id"":""applyUser"",""name"":""申请人"",""read"":false,""write"":false},{""id"":""position"",""name"":""所属职务"",""read"":false,""write"":false},{""id"":""applyDate"",""name"":""申请时间"",""read"":false,""write"":false},{""id"":""banquetNum"",""name"":""宴请人数"",""read"":true,""write"":false},{""id"":""banquetPeople"",""name"":""宴请人员"",""read"":true,""write"":false},{""id"":""total"",""name"":""人员总数"",""read"":true,""write"":false},{""id"":""place"",""name"":""宴请地点"",""read"":true,""write"":false},{""id"":""expectedCost"",""name"":""预计费用"",""read"":true,""write"":false},{""id"":""description"",""name"":""备注"",""read"":true,""write"":false}],""nodeId"":""Kb2"",""num"":""0"",""prevId"":""Gb2"",""progress"":""50"",""rejectStep"":""0"",""taskId"":""01298ced00a344ffb92b0edf4045a883"",""taskNodeId"":""0b502428ea7044c8992e72aa967b39e4"",""title"":""主管审批"",""type"":""approver""}","0","end","1",,"2","10/10/2020 00:59:21","01298ced00a344ffb92b0edf4045a883","0"
"0cdb85d313eb498e9c4573cd519fe90b","end","结束","endround","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":null,""childNode"":null,""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":null,""formOperates"":[],""nodeId"":null,""num"":null,""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":null,""taskNodeId"":null,""title"":null,""type"":null}",,,"0",,"3","29/9/2020 08:14:18","91cefc2b8eb14e369dbb5ca17a492d96","0"
"0d5688060a294bbfba7ef46bce511fea","Ub2","审批人","approver","{""approverPos"":[],""approvers"":[],""assigneeType"":""1"",""child"":true,""childNode"":""Zb2"",""circulatePosition"":[""2F82A84B-9F22-4E14-8B10-BC502F2BCD26"",""0E773C1A-2E4E-4001-A51E-0E3DC93901A4"",""6D4BC762-1F21-4697-95F6-D5B4D11C3E40"",""B650DD80-8C7C-4AFA-AF1C-B9C92CC5CFAC""],""circulateUser"":[""ec63d618f8b643428b27f18336f73f4b"",""3977de33-668c-4585-b09b-239aacfb4ebe"",""6b97f5b0-06ba-4f9d-a93d-876abbaaa767"",""9624fa22-ac3a-4184-af0b-b2c720df9d60"",""a133c2e4-212d-414e-b9d1-5ca443b1e95d"",""b973a1bb-4e2e-411e-94ea-77c83f0127d3""],""description"":null,""firstId"":"""",""formOperates"":[{""id"":""comInputField101"",""name"":""单行输入框"",""read"":false,""write"":false},{""id"":""numInputField103"",""name"":""数字文本"",""read"":false,""write"":false},{""id"":""textareaField102"",""name"":""多行输入框"",""read"":false,""write"":false},{""id"":""checkboxField104"",""name"":""多选框"",""read"":false,""write"":false},{""id"":""timeField105"",""name"":""时间选择"",""read"":false,""write"":false}],""nodeId"":""Ub2"",""num"":""0"",""prevId"":""Tb2"",""progress"":""20"",""rejectStep"":""0"",""taskId"":""a7e733bbde014b3390174de2e9ae6d3d"",""taskNodeId"":""0d5688060a294bbfba7ef46bce511fea"",""title"":""审批人"",""type"":""approver""}","0","Zb2","0",,"2","10/10/2020 08:00:45","a7e733bbde014b3390174de2e9ae6d3d","0"
"0d7ba68946ca4bab970ad9b3d1c80516","Ob2","主管审批","approver","{""approverPos"":[],""approvers"":[],""assigneeType"":""1"",""child"":false,""childNode"":"""",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[{""id"":""id"",""name"":""主键"",""read"":true,""write"":false},{""id"":""flowId"",""name"":""流程主键"",""read"":true,""write"":false},{""id"":""flowTitle"",""name"":""流程标题"",""read"":true,""write"":false},{""id"":""flowUrgent"",""name"":""紧急程度"",""read"":true,""write"":false},{""id"":""billNo"",""name"":""流程单据"",""read"":true,""write"":false},{""id"":""applyUser"",""name"":""申请人"",""read"":true,""write"":false},{""id"":""department"",""name"":""申请部门"",""read"":true,""write"":false},{""id"":""applyDate"",""name"":""申请时间"",""read"":true,""write"":false},{""id"":""contractNum"",""name"":""合同编号"",""read"":true,""write"":false},{""id"":""nonContract"",""name"":""非合同支出"",""read"":true,""write"":false},{""id"":""accountOpeningBank"",""name"":""开户银行"",""read"":true,""write"":false},{""id"":""bankAccount"",""name"":""银行账号"",""read"":true,""write"":false},{""id"":""openAccount"",""name"":""开户姓名"",""read"":true,""write"":false},{""id"":""paymentMethod"",""name"":""支付方式"",""read"":true,""write"":false},{""id"":""description"",""name"":""备注"",""read"":true,""write"":false}],""nodeId"":""Ob2"",""num"":""0"",""prevId"":""Nb2"",""progress"":""50"",""rejectStep"":""0"",""taskId"":""308c97d907d54a17bbd0464790565e5a"",""taskNodeId"":""0d7ba68946ca4bab970ad9b3d1c80516"",""title"":""主管审批"",""type"":""approver""}","0","end","0",,"2","29/9/2020 03:19:02","308c97d907d54a17bbd0464790565e5a","0"
"0dbf1c4194f64fcc8d1c82379f98a803","hb2","主管审批","approver","{""approverPos"":[],""approvers"":[],""assigneeType"":""2"",""child"":false,""childNode"":"""",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[{""id"":""id"",""name"":""主键"",""read"":true,""write"":false},{""id"":""flowId"",""name"":""流程主键"",""read"":true,""write"":false},{""id"":""flowTitle"",""name"":""流程标题"",""read"":true,""write"":false},{""id"":""flowUrgent"",""name"":""流程等级"",""read"":true,""write"":false},{""id"":""billNo"",""name"":""流程单据"",""read"":true,""write"":false},{""id"":""applyUser"",""name"":""申请人"",""read"":true,""write"":false},{""id"":""departmental"",""name"":""申请部门"",""read"":true,""write"":false},{""id"":""billsNum"",""name"":""票据数"",""read"":true,""write"":false},{""id"":""businessMission"",""name"":""出差任务"",""read"":true,""write"":false},{""id"":""setOutDate"",""name"":""出发日期"",""read"":true,""write"":false},{""id"":""returnDate"",""name"":""回归日期"",""read"":true,""write"":false},{""id"":""destination"",""name"":""目的地"",""read"":true,""write"":false},{""id"":""planeTicket"",""name"":""机票费"",""read"":true,""write"":false},{""id"":""fare"",""name"":""车船费"",""read"":true,""write"":false},{""id"":""getAccommodation"",""name"":""住宿费用"",""read"":true,""write"":false},{""id"":""travelAllowance"",""name"":""出差补助"",""read"":true,""write"":false},{""id"":""other"",""name"":""其他费用"",""read"":true,""write"":false},{""id"":""total"",""name"":""合计"",""read"":true,""write"":false},{""id"":""reimbursementAmount"",""name"":""报销金额"",""read"":true,""write"":false},{""id"":""loanAmount"",""name"":""借款金额"",""read"":true,""write"":false},{""id"":""sumOfMoney"",""name"":""补找金额"",""read"":true,""write"":false},{""id"":""travelerUser"",""name"":""出差人"",""read"":true,""write"":false},{""id"":""reimbursementId "",""name"":""报销编号"",""read"":true,""write"":false},{""id"":""railTransit"",""name"":""轨道交通费"",""read"":true,""write"":false},{""id"":""vehicleMileage"",""name"":""车辆里程"",""read"":true,""write"":false},{""id"":""roadFee"",""name"":""过路费"",""read"":true,""write"":false},{""id"":""parkingRate"",""name"":""停车费"",""read"":true,""write"":false},{""id"":""mealAllowance"",""name"":""餐补费用"",""read"":true,""write"":false},{""id"":""breakdownFee"",""name"":""故障报修费"",""read"":true,""write"":false},{""id"":""applyDate"",""name"":""申请时间"",""read"":true,""write"":false}],""nodeId"":""hb2"",""num"":""0"",""prevId"":""gb2"",""progress"":""50"",""rejectStep"":""0"",""taskId"":""7bed3546f71b46b69a3962c7f41dd846"",""taskNodeId"":""0dbf1c4194f64fcc8d1c82379f98a803"",""title"":""主管审批"",""type"":""approver""}","0","end","0",,"2","27/9/2020 02:17:52","7bed3546f71b46b69a3962c7f41dd846","0"
"0e1250987b1e49978a29fc5abe136a2a","end","结束","endround","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":null,""childNode"":null,""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":null,""formOperates"":[],""nodeId"":null,""num"":null,""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":null,""taskNodeId"":null,""title"":null,""type"":null}",,,"0",,"3","29/9/2020 01:57:07","356b6563e15f4f8e9f6ba9929a988fd0","0"
"0f1a6c1c15fd43e6951c234f3fd7fc50","Zb2","审批人","approver","{""approverPos"":[],""approvers"":[""1c637b38-7c7e-4733-9069-5a8f4585f6f9"",""43a38a12-a051-4006-be67-9547ee10eabc"",""67e573e0-bb73-49e0-823b-d8297b0da3f8"",""ea3b9f9e61584acf95d4142ad16f7883""],""assigneeType"":""6"",""child"":false,""childNode"":"""",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[{""id"":""comInputField101"",""name"":""单行输入框"",""read"":true,""write"":false},{""id"":""numInputField103"",""name"":""数字文本"",""read"":true,""write"":false},{""id"":""textareaField102"",""name"":""多行输入框"",""read"":true,""write"":false},{""id"":""checkboxField104"",""name"":""多选框"",""read"":true,""write"":false},{""id"":""timeField105"",""name"":""时间选择"",""read"":true,""write"":false}],""nodeId"":""Zb2"",""num"":""0"",""prevId"":""Ub2"",""progress"":"""",""rejectStep"":""0"",""taskId"":""5d9e95ead802463887560a0c9810e65e"",""taskNodeId"":""0f1a6c1c15fd43e6951c234f3fd7fc50"",""title"":""审批人"",""type"":""approver""}","0","end","0",,"3","29/9/2020 02:13:55","5d9e95ead802463887560a0c9810e65e","0"
"0f3364ab5371482cbfdedc3477ed43ce","end","结束","endround","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":null,""childNode"":null,""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":null,""formOperates"":[],""nodeId"":null,""num"":null,""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":null,""taskNodeId"":null,""title"":null,""type"":null}",,,"0",,"3","29/9/2020 01:54:58","17df3ba1d331472ca30dde642b924ac2","0"
"0f3a30e6d1cf479389da8b553f7cfa04","end","结束","endround","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":null,""childNode"":null,""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":null,""formOperates"":[],""nodeId"":null,""num"":null,""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":null,""taskNodeId"":null,""title"":null,""type"":null}",,,"0",,"3","29/9/2020 03:17:26","5cc32510aec84d6b89cbf3f94eaa9bf4","0"
"0f4ce749c3a84a22a5bb9706cb2e0cb7","cb2","开始","start","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":true,""childNode"":""db2"",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[],""nodeId"":""cb2"",""num"":""1"",""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":""b81394a5b7584033b568e7b46529cd56"",""taskNodeId"":""0f4ce749c3a84a22a5bb9706cb2e0cb7"",""title"":""开始"",""type"":""start""}",,"db2","1",,"1","29/9/2020 01:55:58","b81394a5b7584033b568e7b46529cd56","-1"
