"F_Id","F_MsgType","F_All","F_Safe","F_ToUserId","F_ToParty","F_ToTag","F_AgentId","F_MediaId","F_Title","F_Author","F_ContentSourceUrl","F_Content","F_Abstract","F_ShowCoverPic","F_SendDate","F_SendUserId","F_TXTContent","F_FileJson","F_SortCode","F_EnabledMark","F_InvalidUser","F_InvalidParty","F_InvalidTag","F_Description","F_PicUrl"
"7f5c52c9dad84e5dada0549b8acefd71","6","1",,,,,"1000004",,"上帝的孤独程序员 | TempleOS 创作者 Terry Davis 去世","  局长","https://www.oschina.net/news/99770/templeos-creator-terry-davis-has-passed?from=20180909","<p>男子在第一和终点站街道被火车撞死。并不排除自杀的可能。</p><p>而过了将近一个月的时间，Terry Davis 的官网才正式发出讣告。</p><p>虽然他一生被精神疾病困扰，也遭到许多人对他的冷眼相待，但他对计算机领域的贡献，是值得世人尊重的。</p><p>他为上帝建了个神庙 —— TempleOS。R.I.P.</p><p>TempleOS&nbsp;系统界面截图：</p><p><img src=""https://static.oschina.net/uploads/img/201602/07074208_c37G.bmp""></p><p><img src=""https://static.oschina.net/uploads/img/201602/07074210_npUd.bmp""></p><h4>相关链接</h4><ul><li>TempleOS 的详细介绍：<a href=""https://www.oschina.net/p/templeos"" target=""_blank"">点击查看</a></li><li>TempleOS 的下载地址：<a href=""https://www.oschina.net/home/login?goto_page=https://www.oschina.net/news/99770/templeos-creator-terry-davis-has-passed?from=20180909"" target=""_blank"">点击下载</a></li></ul><p>本站文章除注明转载外，均为本站原创或编译。欢迎任何形式的转载，但请务必注明出处，尊重他人劳动共创开源社区。</p><p>转载请注明：文章转载自 开源中国社区&nbsp;<a href=""https://www.oschina.net/"">[http://www.oschina.net]</a></p><p>本文标题：上帝的孤独程序员 | TempleOS 创作者 Terry Davis 去世???????</p><p>本文地址：<a href=""https://www.oschina.net/news/99770/templeos-creator-terry-davis-has-passed"">https://www.oschina.net/news/99770/templeos-creator-terry-davis-has-passed</a></p><p><a>收藏 (13)</a>&nbsp;分享</p><h3>精彩评论</h3><p><img src=""https://static.oschina.net/uploads/user/494/988783_50.jpg?t=1392302960000"" alt=""捍卫机密""><a href=""https://my.oschina.net/raddleoj"" target=""_blank"">捍卫机密</a>&nbsp;2018-09-09 11:07</p><p>我突然觉得我好像找到了余生该做的事情。code for my self！</p><p><a>&nbsp;10&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><h3>最新评论（11）</h3><p><img src=""https://static.oschina.net/uploads/user/90/180656_50.jpg?t=1367990990000"" alt=""须臾时光""><a href=""https://my.oschina.net/yongbaolinux"" target=""_blank"">须臾时光</a>&nbsp;2018-09-10 07:37</p><p>C++不就是C和++的组合吗??</p><p><a>&nbsp;0&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><p><img src=""https://static.oschina.net/uploads/user/1718/3437321_50.jpg?t=1492581145000"" alt=""IT释迦摩尼""><a href=""https://my.oschina.net/u/3437321"" target=""_blank"">IT释迦摩尼</a>&nbsp;2018-09-10 07:18</p><h4>引用来自“须臾时光”的评论</h4><p>实在想象不到由C和C++组合而成的是个什么样的语言</p><p>c with class</p><p><a>&nbsp;0&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><p><img src=""https://static.oschina.net/uploads/user/90/180656_50.jpg?t=1367990990000"" alt=""须臾时光""><a href=""https://my.oschina.net/yongbaolinux"" target=""_blank"">须臾时光</a>&nbsp;2018-09-10 07:18</p><p>实在想象不到由C和C++组合而成的是个什么样的语言</p><p><a>&nbsp;0&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><p><img src=""https://static.oschina.net/uploads/user/1873/3746143_50.jpg?t=1520320615000"" alt=""Mayeff""><a href=""https://my.oschina.net/u/3746143"" target=""_blank"">Mayeff</a>&nbsp;2018-09-09 17:33</p><p>为这个世界增添了一份阳光</p><p><a>&nbsp;0&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><p><img src=""https://static.oschina.net/uploads/user/85/171860_50.jpeg?t=1503538882000"" alt=""TerryZ""><a href=""https://my.oschina.net/u/171860"" target=""_blank"">TerryZ</a>&nbsp;2018-09-09 15:07</p><p>走好</p><p><a>&nbsp;0&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><p><img src=""https://static.oschina.net/uploads/user/1172/2344139_50.jpg?t=1428468956000"" alt=""a358003542""><a href=""https://my.oschina.net/cdwanze"" target=""_blank"">a358003542</a>&nbsp;2018-09-09 12:30</p><p><a>&nbsp;0&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><p><img src=""https://static.oschina.net/uploads/user/406/813166_50.jpg?t=1378173159000"" alt=""haitaosoft""><a href=""https://my.oschina.net/haitaosoft"" target=""_blank"">haitaosoft</a>&nbsp;2018-09-09 12:28</p><p>【TempleOS 详细介绍</p><p>TempleOS 是一个 x86_64 多核、非抢占式多任务、ring-0-only、单地址映射 操作系统，该操作系统的主要目的是为了休闲编程。页基本无法使用。说白了就是给小孩或者非专业人士玩玩的。】</p><p>这样的介绍也是 冷眼相待 了</p><p><a>&nbsp;0&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><p><img src=""https://static.oschina.net/uploads/user/494/988783_50.jpg?t=1392302960000"" alt=""捍卫机密""><a href=""https://my.oschina.net/raddleoj"" target=""_blank"">捍卫机密</a>&nbsp;2018-09-09 11:07</p><p>我突然觉得我好像找到了余生该做的事情。code for my self！</p><p><a>&nbsp;10&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><p><img src=""https://static.oschina.net/uploads/user/494/988783_50.jpg?t=1392302960000"" alt=""捍卫机密""><a href=""https://my.oschina.net/raddleoj"" target=""_blank"">捍卫机密</a>&nbsp;2018-09-09 10:40</p><p>上帝的孤独程序员</p><p><a>&nbsp;0&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><p><img src=""https://oscimg.oschina.net/oscnet/up-ina6qiyvrivrxd8lanbr5amb11cewc1j.jpg!/both/50x50?t=1534498473000"" alt=""zhenruyan""><a href=""https://my.oschina.net/zhenruyan"" target=""_blank"">zhenruyan</a>&nbsp;2018-09-09 08:52</p><p>大佬画的好细致！</p><p><a>&nbsp;0&nbsp;赞</a>&nbsp;<a>&nbsp;举报</a></p><p><a href=""https://www.oschina.net/news/99770/templeos-creator-terry-davis-has-passed?p=1"">1</a><a href=""https://www.oschina.net/news/99770/templeos-creator-terry-davis-has-passed?p=2"">2</a><a href=""https://www.oschina.net/news/99770/templeos-creator-terry-davis-has-passed?p=2"">&gt;</a></p><p><a>插入表情</a>&nbsp;<a>插入软件</a></p><p>0/1000</p><p>发表评论</p><p><a>相关文章</a><a>最新文章</a></p><h3><a href=""https://my.oschina.net/u/2010862/blog/710279"" target=""_blank"">???????为什么Lisp语言如此先进？</a></h3><p>（节选自即将出版的《黑客与画家》中译本） 一、 如果我们把流行的编程语言，以这样的顺序排列：Java、Perl、Python、Ruby。你会发现，排在越后面的语言，越像Lisp。 Python模仿Lisp，甚至把...</p><p>平凡之路</p><p>&nbsp;2016/07/12</p><p>&nbsp;&nbsp;0</p><h3><a href=""https://my.oschina.net/u/162418/blog/294729"" target=""_blank"">W?i?n?7? ?6?4?位?升?级?后?I?E?1?1?打?不?开?的?解?决?方?案</a></h3><p>开始-------搜索程序和文件里输入“运行”（打开）--------regedit----------HKEYCURRENTUSERSoftwareMicrosoftInternet ExplorerMain--------右键--------权限-----------高级-------权限-...</p><p>cnu2m</p><p>&nbsp;2014/07/25</p><p>&nbsp;&nbsp;0</p><h3><a href=""https://my.oschina.net/u/856612/blog/290034"" target=""_blank"">M?y?E?c?l?i?p?s?e? ?8?.?5? ?注?册?方?法</a></h3><p>MyEclipse 8.5 注册方法 1.在使用了老师给的MyEclipse 8.5一段时间之后，会出现这个警告对话框。 2.解决办法：①登陆<a href=""http://www.lephones.info"" rel=""nofollow"">http://www.lephones.info</a>网站，在Subscriber附近的文本区输入Subscribe...</p><p>杨昊亚</p><p>&nbsp;2014/07/12</p><p>&nbsp;&nbsp;0</p><h3><a href=""https://my.oschina.net/u/815434/blog/265977"" target=""_blank"">在?W?O?R?D?中?用?V?B?A?实?现?光?标?移?动?与?内?容?选?择</a></h3><p>在WORD中用VBA实现光标移动与内容选择 分类： VB 2009-08-01 16:42 216人阅读 评论(0) 收藏 举报 在WORD中如何用VBA宏语言选定一行、一段，删除一行、一段，移动光标至行首、行尾、段首、段尾...</p><p>china008</p><p>&nbsp;2014/05/17</p><p>&nbsp;&nbsp;0</p><h3><a href=""https://yq.aliyun.com/articles/309357"" target=""_blank"">v?c?+?+?实?现?s?n?m?p?编?程</a></h3><p>首先来阐述几个重要的概念： 　　1、community (共同体名):如果翻译过来可能会显得难于理解，其实你完全可以把它理解为一个带有权限的登陆账户，这是你访问网络设备的重要凭据，比如你要访问...</p><p>nothingfinal</p><p>&nbsp;2014/07/02</p><p>&nbsp;&nbsp;0</p><p><a>加载更多</a></p><h3>热门资讯</h3><p><a href=""https://www.oschina.net/news/99626/chrome-69-released"" target=""_blank"">Chrome 十周年大改版：迎来全新 Material Design</a><a href=""https://my.oschina.net/u/2903254"" target=""_blank"">达尔文</a></p><p>&nbsp;09/05 08:12</p><p>&nbsp;<a href=""https://www.oschina.net/news/99626/chrome-69-released#comments"" target=""_blank"">&nbsp;83 评论</a></p><p><a href=""https://www.oschina.net/news/99678/google-wants-to-kill-the-url"" target=""_blank"">Chrome：杀死 URL</a><a href=""https://my.oschina.net/u/3820517"" target=""_blank"">h4cd</a></p><p>&nbsp;09/06 08:12</p><p>&nbsp;<a href=""https://www.oschina.net/news/99678/google-wants-to-kill-the-url#comments"" target=""_blank"">&nbsp;45 评论</a></p><p><a href=""https://www.oschina.net/news/99636/tiobe-index-201809"" target=""_blank"">TIOBE 9 月排行榜：C++ 式微，第 3 名被 Python 拿下</a><a href=""https://my.oschina.net/u/3820517"" target=""_blank"">h4cd</a></p><p>&nbsp;09/05 08:17</p><p>&nbsp;<a href=""https://www.oschina.net/news/99636/tiobe-index-201809#comments"" target=""_blank"">&nbsp;46 评论</a></p><p><a href=""https://www.oschina.net/news/99717/what-s-google-dataset-search"" target=""_blank"">用谷歌新发布的 Dataset Search 搜 Linus，结果……</a><a href=""https://my.oschina.net/u/3820517"" target=""_blank"">h4cd</a></p><p>&nbsp;09/07 08:10</p><p>&nbsp;<a href=""https://www.oschina.net/news/99717/what-s-google-dataset-search#comments"" target=""_blank"">&nbsp;19 评论</a></p><p><a href=""https://www.oschina.net/news/99668/vscode-1-27-released"" target=""_blank"">Visual Studio Code 1.27 发布，一大波新特性来袭</a><a href=""https://my.oschina.net/u/2903254"" target=""_blank"">达尔文</a></p><p>&nbsp;09/06 08:02</p><p>&nbsp;<a href=""https://www.oschina.net/news/99668/vscode-1-27-released#comments"" target=""_blank"">&nbsp;23 评论</a></p><p><a href=""https://www.oschina.net/news/99743/chrome-dino"" target=""_blank"">4年后谷歌终于解释了 Chrome 中萌萌哒小恐龙的起源???????</a><a href=""https://my.oschina.net/hardbone"" target=""_blank"">局长</a></p><p>&nbsp;前天 07:59</p><p>&nbsp;<a href=""https://www.oschina.net/news/99743/chrome-dino#comments"" target=""_blank"">&nbsp;17 评论</a></p><p><a href=""https://www.oschina.net/news/99597/introducing-tink-cryptographic-software"" target=""_blank"">Google 的 Tink 库让你丢掉手中成百上千页的密码学书籍</a><a href=""https://my.oschina.net/u/3820517"" target=""_blank"">h4cd</a></p><p>&nbsp;09/04 08:09</p><p>&nbsp;<a href=""https://www.oschina.net/news/99597/introducing-tink-cryptographic-software#comments"" target=""_blank"">&nbsp;4 评论</a></p><p><a href=""https://www.oschina.net/news/99696/poi-4-0-0-released"" target=""_blank"">Apache POI 4.0.0 正式发布，不再支持 Java 6 与 7</a><a href=""https://my.oschina.net/u/2305107"" target=""_blank"">淡漠悠然</a></p><p>&nbsp;09/06 17:25</p><p>&nbsp;<a href=""https://www.oschina.net/news/99696/poi-4-0-0-released#comments"" target=""_blank"">&nbsp;23 评论</a></p><p><a href=""https://www.oschina.net/news/99596/oschina-10th-anniversary-lottery"" target=""_blank"">【抽奖】已经有 OSCer 中了小爱同学、Cherry 键盘！</a><a href=""https://my.oschina.net/u/3820517"" target=""_blank"">h4cd</a></p><p>&nbsp;09/04 08:08</p><p>&nbsp;<a href=""https://www.oschina.net/news/99596/oschina-10th-anniversary-lottery#comments"" target=""_blank"">&nbsp;83 评论</a></p><p><a href=""https://www.oschina.net/news/99612/fake-star-on-github"" target=""_blank"">Github 造假产业链曝光，花钱就能买 Star</a></p>",,,"10/9/2018 09:40:53","admin",,"20180910_c6e877b914d2494388ad37f672bce125.jpg","910094053287135","0",,,,,
"87f945b1599849b6a10de9cabb914e45","2","0",,"249cf67d-fd9d-42da-8c2f-0481a7113446,ec63d618f8b643428b27f18336f73f4b,1a2b0254-8862-4525-ab4f-444df590b2b8,00d9428a-25f5-4ceb-ab9b-1a3c71989bb4,3da3017f-46a9-4bdc-ab00-8b155735679c,00ca450b-141b-45d2-b6cb-94d818165543,10d14495-0558-497a-a92c-9360d65c4488",,,"1000004","3OUGO7TA4fEeYERVua1vVMW8tzfW5CK-ruluhenrzdwo",,,,,,,"31/8/2018 23:20:39","admin",,"20180831_0cd3c4e91d1d4091840aee5248665716.jpg","831232039273374","0",,,,,
"92eb3bf176784207b4faa90b36def2fd","1","0",,"03d159a3-0f88-424c-a24f-02f63855fe4f,9624fa22-ac3a-4184-af0b-b2c720df9d60,6b97f5b0-06ba-4f9d-a93d-876abbaaa767,ec63d618f8b643428b27f18336f73f4b",,,"1000004",,,,,,,,"31/8/2018 23:18:40","admin","dd",,"831231840241566","0",,,,,
"99b9db4f218a4734870816ad49412988","5","1",,,,,"1000003",,,,,,,,"15/7/2020 15:26:08",,,"20200715_5563d9129e1e400f901c1a66dfa2e97e.xls","20200715152608414","1",,,,,
"9feb6df6e5394640b9f7637dd5edea2f","1","1",,,,,"1000003",,,,,,,,"19/8/2020 14:16:14","admin","2233",,"20200819141614400","1",,,,,
"aa5abe2f88034af3962afa0a6b77de77","2","1",,,,,"1000004",,,,,,,,"10/9/2018 09:51:50","admin",,"20180910_4f3912b7e3a7433eb1b426cef6ba94e6.jpg","910095150158706","0",,,,,
"b76c986e826642eabfad9dfdfbf183ce","1","1",,,,,"1000003",,,,,,,,"15/7/2020 15:09:55","admin","11",,"20200715150955171","0",,,,,
"bf5c94e46ef34a67a61cd299ceaa3669","2","1",,,,,"1000004","3GIVKMGQelJ-Ln5NZRMsE4Q3RfYVk3yrDpjgG3bfuIznTMK5YvbuVb0OvfQZMM1fQ",,,,,,,"31/8/2018 22:40:57","admin",,"20180831_97ef2f78fa2c4ab6b24cc70a125021da.jpg","831224056966114","0",,,,,
"cbd06f092c2242d5942de68684bb3bf8","4","1",,,,,"1000003",,"2122",,,,,,"15/7/2020 15:16:46",,"1221","20200715_97d9c3be65364b24a2ed9bc968515c86.mp4","20200715151645925","1",,,,,
"d23d452a0ba54cbfb7aaee0939d46bcc","4","1",,,,,"1000003",,"11",,,,,,"18/9/2020 07:05:39","admin","11","20200918_f6f0ddcb837a4326b80bab0b177ec449.MP4","20200918150539024","1",,,,,
"d54b004b3c084c37868bc867975901a5","6","1",,,,,"1000003",,"321321","213213","213213213","<p>213213213</p>",,,"15/7/2020 15:41:17","admin",,"20200715_c82230ab0ccb4db986d499a7ef3ce2f8.jpeg","20200715154117147","1",,,,,
"e64648d2ab2241e1bb8895d7ccdd6a03","2","0",,"249cf67d-fd9d-42da-8c2f-0481a7113446,6b97f5b0-06ba-4f9d-a93d-876abbaaa767",,,"1000004",,"ce",,,,,,"10/9/2018 10:16:09","admin",,"20180910_51dea33b577e4fc297dfc12c609cbcc7.jpg","910101608887141","0",,,,,
"ea33363a11fa49428fc31fc03b6f7f03","3","1",,,,,"1000003",,,,,,,,"7/9/2020 07:50:12","admin",,"20200907_5c522561b83943348ce283d72b3d722f.amr","20200907155012338","1",,,,,
